NAM,Namibia,Africa;
NCL,New Caledonia,Oceania;
NER,Niger,Africa;
NFK,Norfolk Island,Oceania;
NGA,Nigeria,Africa;
NIC,Nicaragua,North America;
NIU,Niue,Oceania;
NLD,Netherlands,Europe;
NOR,Norway,Europe;
NPL,Nepal,Asia;
NRU,Nauru,Oceania;
NZL,New Zealand,Oceania;
OMN,Oman,Asia;
PAK,Pakistan,Asia;
PAN,Panama,North America;
PCN,Pitcairn,Oceania;
PER,Peru,South America;
PHL,Philippines,Asia;
PLW,Palau,Oceania;
PNG,Papua New Guinea,Oceania;
POL,Poland,Europe;
PRI,Puerto Rico,North America;
PRK,North Korea,Asia;
PRT,Portugal,Europe;
PRY,Paraguay,South America;
PSE,Palestine,Asia;
PYF,French Polynesia,Oceania;
QAT,Qatar,Asia;
REU,R�union,Africa;
ROM,Romania,Europe;
RUS,Russian Federation,Europe;
RWA,Rwanda,Africa;
SAU,Saudi Arabia,Asia;
SDN,Sudan,Africa;
SEN,Senegal,Africa;
SGP,Singapore,Asia;
SGS,South Georgia and the South Sandwich Islands,Antarctica;
SHN,Saint Helena,Africa;
SJM,Svalbard and Jan Mayen,Europe;
SLB,Solomon Islands,Oceania;
SLE,Sierra Leone,Africa;
SLV,El Salvador,North America;
SMR,San Marino,Europe;
SOM,Somalia,Africa;
SPM,Saint Pierre and Miquelon,North America;
STP,Sao Tome and Principe,Africa;
SUR,Suriname,South America;
SVK,Slovakia,Europe;
SVN,Slovenia,Europe;
SWE,Sweden,Europe;
SWZ,Swaziland,Africa;
SYC,Seychelles,Africa;
SYR,Syria,Asia;
TCA,Turks and Caicos Islands,North America;
TCD,Chad,Africa;
TGO,Togo,Africa;
THA,Thailand,Asia;
TJK,Tajikistan,Asia;
TKL,Tokelau,Oceania;
TKM,Turkmenistan,Asia;
TMP,East Timor,Asia;
TON,Tonga,Oceania;
TTO,Trinidad and Tobago,North America;
TUN,Tunisia,Africa;
TUR,Turkey,Asia;
TUV,Tuvalu,Oceania;
TWN,Taiwan,Asia;
TZA,Tanzania,Africa;
UGA,Uganda,Africa;
UKR,Ukraine,Europe;
UMI,United States Minor Outlying Islands,Oceania;
URY,Uruguay,South America;
USA,United States,North America;
UZB,Uzbekistan,Asia;
VAT,Holy See (Vatican City State),Europe;
VCT,Saint Vincent and the Grenadines,North America;
VEN,Venezuela,South America;
VGB,Virgin Islands\, British,North America;
VIR,Virgin Islands\, U.S.,North America;
VNM,Vietnam,Asia;
VUT,Vanuatu,Oceania;
WLF,Wallis and Futuna,Oceania;
WSM,Samoa,Oceania;
YEM,Yemen,Asia;
YUG,Yugoslavia,Europe;
ZAF,South Africa,Africa;
ZMB,Zambia,Africa;
ZWE,Zimbabwe,Africa;
